갑자(甲子),3.3,6.7,10.0,,,,,,,,20.0
을축(乙丑) ,,3.0,,10.0,,,,6.0,,1.0,20.0
병인(丙寅) ,,,5.3,,12.3,,2.3,,,,20.0
정묘(丁卯) ,,,3.3,6.7,,10.0,,,,,20.0
무진(戊辰) ,,1.0,,3.0,,,16.0,,,,20.0
기사(己巳) ,,,,,5.3,,2.3,10.0,2.3,,20.0
경오(庚午) ,,,,,3.3,3.7,,3.0,10.0,,20.0
신미(辛未) ,,,,1.0,,3.0,,6.0,,10.0,20.0
임신(壬申) ,12.3,,,,,,2.3,,5.3,,20.0
계유(癸酉) ,,10.0,,,,,,,3.3,6.7,20.0
갑술(甲戌) ,,,10.0,,,1.0,6.0,,,3.0,20.0
을해(乙亥) ,5.3,,2.3,10.0,,,2.3,,,,20.0
병자(丙子) ,3.3,6.7,,,10.0,,,,,,20.0
정축(丁丑) ,,3.0,,,,10.0,,6.0,,1.0,20.0
무인(戊寅) ,,,5.3,,2.3,,12.3,,,,20.0
기묘(己卯) ,,,3.3,6.7,,,,10.0,,,20.0
경진(庚辰) ,,1.0,,3.0,,,6.0,,10.0,,20.0
신사(辛巳) ,,,,,5.3,,2.3,,2.3,10.0,20.0
임오(壬午) ,10.0,,,,3.3,3.7,,3.0,,,20.0
계미(癸未) ,,10.0,,1.0,,3.0,,6.0,,,20.0
갑신(甲申) ,2.3,,10.0,,,,2.3,,5.3,,20.0
을유(乙酉) ,,,,10.0,,,,,3.3,6.7,20.0
병술(丙戌) ,,,,,10.0,1.0,6.0,,,3.0,20.0
정해(丁亥) ,5.3,,2.3,,,10.0,2.3,,,,20.0
무자(戊子) ,3.3,6.7,,,,,10.0,,,,20.0
기축(己丑) ,,3.0,,,,,,16.0,,1.0,20.0
경인(庚寅) ,,,5.3,,2.3,,2.3,,10.0,,20.0
신묘(辛卯) ,,,3.3,6.7,,,,,,10.0,20.0
임진(壬辰) ,10.0,1.0,,3.0,,,6.0,,,,20.0
계사(癸巳) ,,10.0,,,5.3,,2.3,,2.3,,20.0
갑오(甲午) ,,,10.0,,3.3,3.7,,3.0,,,20.0
을미(乙未) ,,,,11.0,,3.0,,6.0,,,20.0
병신(丙申) ,2.3,,,,10.0,,2.3,,5.3,,20.0
정유(丁酉) ,,,,,,10.0,,,3.3,6.7,20.0
무술(戊戌) ,,,,,,1.0,16.0,,,3.0,20.0
기해(己亥) ,5.3,,2.3,,,,2.3,10.0,,,20.0
경자(庚子) ,3.3,6.7,,,,,,,10.0,,20.0
신축(辛丑) ,,3.0,,,,,,6.0,,11.0,20.0
임인(壬寅) ,10.0,,5.3,,2.3,,2.3,,,,20.0
계묘(癸卯) ,,10.0,3.3,6.7,,,,,,,20.0
갑진(甲辰) ,,1.0,10.0,3.0,,,6.0,,,,20.0
을사(乙巳) ,,,,10.0,5.3,,2.3,,2.3,,20.0
병오(丙午) ,,,,,13.3,3.7,,3.0,,,20.0
정미(丁未) ,,,,1.0,,13.0,,6.0,,,20.0
무신(戊申) ,2.3,,,,,,12.3,,5.3,,20.0
기유(己酉) ,,,,,,,,10.0,3.3,6.7,20.0
경술(庚戌) ,,,,,,1.0,6.0,,10.0,3.0,20.0
신해(辛亥) ,5.3,,2.3,,,,2.3,,,10.0,20.0
임자(壬子) ,13.3,6.7,,,,,,,,,20.0
계축(癸丑) ,,13.0,,,,,,6.0,,1.0,20.0
갑인(甲寅) ,,,15.3,,2.3,,2.3,,,,20.0
을묘(乙卯) ,,,3.3,16.7,,,,,,,20.0
병진(丙辰) ,,1.0,,3.0,10.0,,6.0,,,,20.0
정사(丁巳) ,,,,,5.3,10.0,2.3,,2.3,,20.0
무오(戊午) ,,,,,3.3,3.7,10.0,3.0,,,20.0
기미(己未) ,,,,1.0,,3.0,,16.0,,,20.0
경신(庚申) ,2.3,,,,,,2.3,,15.3,,20.0
신유(辛酉) ,,,,,,,,,3.3,16.7,20.0
임술(壬戌) ,10.0,,,,,1.0,6.0,,,3.0,20.0
계해(癸亥) ,5.3,10.0,2.3,,,,2.3,,,,20.0
