갑자(甲子),10,,,,20,30
을축(乙丑),10,,12,2,6,30
병인(丙寅),10.8,14.6,4.6,,,30
정묘(丁卯),20,10,,,,30
무진(戊辰),6,,22,,2,30
기사(己巳),,10.8,14.6,4.6,,30
경오(庚午),,14,6,10,,30
신미(辛未),2,6,12,10,,30
임신(壬申),,,4.6,10.8,14.6,30
계유(癸酉),,,,20,10,30
갑술(甲戌),10,2,12,6,,30
을해(乙亥),14.6,,4.6,,10.8,30
병자(丙子),,10,,,20,30
정축(丁丑),,10,12,2,6,30
무인(戊寅),10.8,4.6,14.6,,,30
기묘(己卯),20,,10,,,30
경진(庚辰),6,,12,10,2,30
신사(辛巳),,10.8,4.6,14.6,,30
임오(壬午),,14,6,,10,30
계미(癸未),2,6,12,,10,30
갑신(甲申),10,,4.6,10.8,4.6,30
을유(乙酉),10,,,20,,30
병술(丙戌),,12,12,6,,30
정해(丁亥),4.6,10,4.6,,10.8,30
무자(戊子),,,10,,20,30
기축(己丑),,,22,2,6,30
경인(庚寅),10.8,4.6,4.6,10,,30
신묘(辛卯),20,,,10,,30
임진(壬辰),6,,12,,12,30
계사(癸巳),,10.8,4.6,4.6,10,30
갑오(甲午),10,14,6,,,30
을미(乙未),12,6,12,,,30
병신(丙申),,10,4.6,10.8,4.6,30
정유(丁酉),,10,,20,,30
무술(戊戌),,2,22,6,,30
기해(己亥),4.6,,14.6,,10.8,30
경자(庚子),,,,10,20,30
신축(辛丑),,,12,12,6,30
임인(壬寅),10.8,4.6,4.6,,10,30
계묘(癸卯),20,,,,10,30
갑진(甲辰),11,,12,,7,30
을사(乙巳),10,10.8,4.6,4.6,,30
병오(丙午),,24,6,,,30
정미(丁未),7,11,12,,,30
무신(戊申),,,14.6,10.8,4.6,30
기유(己酉),,,10,20,,30
경술(庚戌),,7,12,11,,30
신해(辛亥),4.6,,4.6,10,10.8,30
임자(壬子),,,,,30,30
계축(癸丑),,,12,2,16,30
갑인(甲寅),20.8,4.6,4.6,,,30
을묘(乙卯),30,,,,,30
병진(丙辰),6,10,12,,2,30
정사(丁巳),,20.8,4.6,4.6,,30
무오(戊午),,14,16,,,30
기미(己未),2,6,22,,,30
경신(庚申),,,4.6,20.8,4.6,30
신유(辛酉),,,,30,,30
임술(壬戌),,2,12,6,10,30
계해(癸亥),4.6,,4.6,,20.8,30
