갑자(甲子),1,0,0,0,2,3
을축(乙丑),1,0,1.2,0.2,0.6,3
병인(丙寅),1.08,1.46,0.46,0,0,3
정묘(丁卯),2,1,0,0,0,3
무진(戊辰),0.6,0,2.2,0,0.2,3
기사(己巳),0,1.08,1.46,0.46,0,3
경오(庚午),0,1.4,0.6,1,0,3
신미(辛未),0.2,0.6,1.2,1,0,3
임신(壬申),0,0,0.46,1.08,1.46,3
계유(癸酉),0,0,0,2,1,3
갑술(甲戌),1,0.2,1.2,0.6,0,3
을해(乙亥),1.46,0,0.46,0,1.08,3
병자(丙子),0,1,0,0,2,3
정축(丁丑),0,1,1.2,0.2,0.6,3
무인(戊寅),1.08,0.46,1.46,0,0,3
기묘(己卯),2,0,1,0,0,3
경진(庚辰),0.6,0,1.2,1,0.2,3
신사(辛巳),0,1.08,0.46,1.46,0,3
임오(壬午),0,1.4,0.6,0,1,3
계미(癸未),0.2,0.6,1.2,0,1,3
갑신(甲申),1,0,0.46,1.08,0.46,3
을유(乙酉),1,0,0,2,0,3
병술(丙戌),0,1.2,1.2,0.6,0,3
정해(丁亥),0.46,1,0.46,0,1.08,3
무자(戊子),0,0,1,0,2,3
기축(己丑),0,0,2.2,0.2,0.6,3
경인(庚寅),1.08,0.46,0.46,1,0,3
신묘(辛卯),2,0,0,1,0,3
임진(壬辰),0.6,0,1.2,0,1.2,3
계사(癸巳),0,1.08,0.46,0.46,1,3
갑오(甲午),1,1.4,0.6,0,0,3
을미(乙未),1.2,0.6,1.2,0,0,3
병신(丙申),0,1,0.46,1.08,0.46,3
정유(丁酉),0,1,0,2,0,3
무술(戊戌),0,0.2,2.2,0.6,0,3
기해(己亥),0.46,0,1.46,0,1.08,3
경자(庚子),0,0,0,1,2,3
신축(辛丑),0,0,1.2,1.2,0.6,3
임인(壬寅),1.08,0.46,0.46,0,1,3
계묘(癸卯),2,0,0,0,1,3
갑진(甲辰),1.1,0,1.2,0,0.7,3
을사(乙巳),1,1.08,0.46,0.46,0,3
병오(丙午),0,2.4,0.6,0,0,3
정미(丁未),0.7,1.1,1.2,0,0,3
무신(戊申),0,0,1.46,1.08,0.46,3
기유(己酉),0,0,1,2,0,3
경술(庚戌),0,0.7,1.2,1.1,0,3
신해(辛亥),0.46,0,0.46,1,1.08,3
임자(壬子),0,0,0,0,3,3
계축(癸丑),0,0,1.2,0.2,1.6,3
갑인(甲寅),2.08,0.46,0.46,0,0,3
을묘(乙卯),3,0,0,0,0,3
병진(丙辰),0.6,1,1.2,0,0.2,3
정사(丁巳),0,2.08,0.46,0.46,0,3
무오(戊午),0,1.4,1.6,0,0,3
기미(己未),0.2,0.6,2.2,0,0,3
경신(庚申),0,0,0.46,2.08,0.46,3
신유(辛酉),0,0,0,3,0,3
임술(壬戌),0,0.2,1.2,0.6,1,3
계해(癸亥),0.46,0,0.46,0,2.08,3
