갑자(甲子),10,,,,10,20
을축(乙丑),10,,6,1,3,20
병인(丙寅),5.4,12.3,2.3,,,20
정묘(丁卯),10,10,,,,20
무진(戊辰),3,,16,,1,20
기사(己巳),,5.4,12.3,2.3,,20
경오(庚午),,7,3,10,,20
신미(辛未),1,3,6,10,,20
임신(壬申),,,2.3,5.4,12.3,20
계유(癸酉),,,,10,10,20
갑술(甲戌),10,1,6,3,,20
을해(乙亥),12.3,,2.3,,5.4,20
병자(丙子),,10,,,10,20
정축(丁丑),,10,6,1,3,20
무인(戊寅),5.4,2.3,12.3,,,20
기묘(己卯),10,,10,,,20
경진(庚辰),3,,6,10,1,20
신사(辛巳),,5.4,2.3,12.3,,20
임오(壬午),,7,3,,10,20
계미(癸未),1,3,6,,10,20
갑신(甲申),10,,2.3,5.4,2.3,20
을유(乙酉),10,,,10,,20
병술(丙戌),,11,6,3,,20
정해(丁亥),2.3,10,2.3,,5.4,20
무자(戊子),,,10,,10,20
기축(己丑),,,16,1,3,20
경인(庚寅),5.4,2.3,2.3,10,,20
신묘(辛卯),10,,,10,,20
임진(壬辰),3,,6,,11,20
계사(癸巳),,5.4,2.3,2.3,10,20
갑오(甲午),10,7,3,,,20
을미(乙未),11,3,6,,,20
병신(丙申),,10,2.3,5.4,2.3,20
정유(丁酉),,10,,10,,20
무술(戊戌),,1,16,3,,20
기해(己亥),2.3,,12.3,,5.4,20
경자(庚子),,,,10,10,20
신축(辛丑),,,6,11,3,20
임인(壬寅),5.4,2.3,2.3,,10,20
계묘(癸卯),10,,,,10,20
갑진(甲辰),11,,6,,3,20
을사(乙巳),10,5.4,2.3,2.3,,20
병오(丙午),,17,3,,,20
정미(丁未),3,11,6,,,20
무신(戊申),,,12.3,5.4,2.3,20
기유(己酉),,,10,10,,20
경술(庚戌),,3,6,11,,20
신해(辛亥),2.3,,2.3,10,5.4,20
임자(壬子),,,,,20,20
계축(癸丑),,,6,1,13,20
갑인(甲寅),15.4,2.3,2.3,,,20
을묘(乙卯),20,,,,,20
병진(丙辰),3,10,6,,1,20
정사(丁巳),,15.4,2.3,2.3,,20
무오(戊午),,7,13,,,20
기미(己未),1,3,16,,,20
경신(庚申),,,2.3,15.4,2.3,20
신유(辛酉),,,,20,,20
임술(壬戌),,1,6,3,10,20
계해(癸亥),2.3,,2.3,,15.4,20
