갑자(甲子),120.5,95.5,170.5,70.5,120.5,70.5,100.5,141.0,120.5,
을축(乙丑) ,112.5,93.3,151.0,74.0,112.5,74.0,97.1,148.0,112.5,
병인(丙寅) ,29.5,22.3,44.0,15.0,29.5,15.0,23.7,30.0,29.5,
정묘(丁卯) ,61.5,49.0,86.5,36.5,61.5,36.5,51.5,73.0,61.5,
무진(戊辰) ,84.0,69.3,113.5,54.5,84.0,54.5,72.2,109.0,84.0,
기사(己巳) ,27.0,26.5,28.0,26.0,27.0,26.0,26.6,52.0,27.0,
경오(庚午) ,30.5,30.3,31.0,30.0,30.5,30.0,30.3,60.0,30.5,
신미(辛未) ,43.5,37.8,55.0,32.0,43.5,32.0,38.9,64.0,43.5,
임신(壬申) ,82.5,64.8,118.0,47.0,82.5,47.0,68.3,94.0,82.5,
계유(癸酉) ,100.0,87.5,125.0,75.0,100.0,75.0,90.0,150.0,100.0,
갑술(甲戌) ,61.5,51.3,82.0,41.0,61.5,41.0,53.3,82.0,61.5,
을해(乙亥) ,133.5,109.0,182.5,84.5,133.5,84.5,113.9,169.0,133.5,
병자(丙子) ,100.5,75.5,150.5,50.5,100.5,50.5,80.5,101.0,100.5,
정축(丁丑) ,88.5,69.3,127.0,50.0,88.5,50.0,73.1,100.0,88.5,
무인(戊寅) ,54.0,46.8,68.5,39.5,54.0,39.5,48.2,79.0,54.0,
기묘(己卯) ,75.0,62.5,100.0,50.0,75.0,50.0,65.0,100.0,75.0,
경진(庚辰) ,88.5,73.8,118.0,59.0,88.5,59.0,76.7,118.0,88.5,
신사(辛巳) ,22.5,22.0,23.5,21.5,22.5,21.5,22.1,43.0,22.5,
임오(壬午) ,12.5,12.3,13.0,12.0,12.5,12.0,12.3,24.0,12.5,
계미(癸未) ,73.0,67.3,84.5,61.5,73.0,61.5,68.4,123.0,73.0,
갑신(甲申) ,91.5,73.8,127.0,56.0,91.5,56.0,77.3,112.0,91.5,
을유(乙酉) ,85.5,73.0,110.5,60.5,85.5,60.5,75.5,121.0,85.5,
병술(丙戌) ,41.5,31.3,62.0,21.0,41.5,21.0,33.3,42.0,41.5,
정해(丁亥) ,109.5,85.0,158.5,60.5,109.5,60.5,89.9,121.0,109.5,
무자(戊子) ,125.0,100.0,175.0,75.0,125.0,75.0,105.0,150.0,125.0,
기축(己丑) ,102.0,82.8,140.5,63.5,102.0,63.5,86.6,127.0,102.0,
경인(庚寅) ,58.5,51.3,73.0,44.0,58.5,44.0,52.7,88.0,58.5,
신묘(辛卯) ,70.5,58.0,95.5,45.5,70.5,45.5,60.5,91.0,70.5,
임진(壬辰) ,70.5,55.8,100.0,41.0,70.5,41.0,58.7,82.0,70.5,
계사(癸巳) ,52.0,51.5,53.0,51.0,52.0,51.0,51.6,102.0,52.0,
갑오(甲午) ,21.5,21.3,22.0,21.0,21.5,21.0,21.3,42.0,21.5,
을미(乙未) ,58.5,52.8,70.0,47.0,58.5,47.0,53.9,94.0,58.5,
병신(丙申) ,71.5,53.8,107.0,36.0,71.5,36.0,57.3,72.0,71.5,
정유(丁酉) ,61.5,49.0,86.5,36.5,61.5,36.5,51.5,73.0,61.5,
무술(戊戌) ,66.0,55.8,86.5,45.5,66.0,45.5,57.8,91.0,66.0,
기해(己亥) ,123.0,98.5,172.0,74.0,123.0,74.0,103.4,148.0,123.0,
경자(庚子) ,129.5,104.5,179.5,79.5,129.5,79.5,109.5,159.0,129.5,
신축(辛丑) ,97.5,78.3,136.0,59.0,97.5,59.0,82.1,118.0,97.5,
임인(壬寅) ,40.5,33.3,55.0,26.0,40.5,26.0,34.7,52.0,40.5,
계묘(癸卯) ,100.0,87.5,125.0,75.0,100.0,75.0,90.0,150.0,100.0,
갑진(甲辰) ,79.5,64.8,109.0,50.0,79.5,50.0,67.7,100.0,79.5,
을사(乙巳) ,37.5,37.0,38.5,36.5,37.5,36.5,37.1,73.0,37.5,
병오(丙午) ,1.5,1.3,2.0,1.0,1.5,1.0,1.3,2.0,1.5,
정미(丁未) ,34.5,28.8,46.0,23.0,34.5,23.0,29.9,46.0,34.5,
무신(戊申) ,96.0,78.3,131.5,60.5,96.0,60.5,81.8,121.0,96.0,
기유(己酉) ,75.0,62.5,100.0,50.0,75.0,50.0,65.0,100.0,75.0,
경술(庚戌) ,70.5,60.3,91.0,50.0,70.5,50.0,62.3,100.0,70.5,
신해(辛亥) ,118.5,94.0,167.5,69.5,118.5,69.5,98.9,139.0,118.5,
임자(壬子) ,111.5,86.5,161.5,61.5,111.5,61.5,91.5,123.0,111.5,
계축(癸丑) ,127.0,107.8,165.5,88.5,127.0,88.5,111.6,177.0,127.0,
갑인(甲寅) ,49.5,42.3,64.0,35.0,49.5,35.0,43.7,70.0,49.5,
을묘(乙卯) ,85.5,73.0,110.5,60.5,85.5,60.5,75.5,121.0,85.5,
병진(丙辰) ,59.5,44.8,89.0,30.0,59.5,30.0,47.7,60.0,59.5,
정사(丁巳) ,13.5,13.0,14.5,12.5,13.5,12.5,13.1,25.0,13.5,
무오(戊午) ,26.0,25.8,26.5,25.5,26.0,25.5,25.8,51.0,26.0,
기미(己未) ,48.0,42.3,59.5,36.5,48.0,36.5,43.4,73.0,48.0,
경신(庚申) ,100.5,82.8,136.0,65.0,100.5,65.0,86.3,130.0,100.5,
신유(辛酉) ,70.5,58.0,95.5,45.5,70.5,45.5,60.5,91.0,70.5,
임술(壬戌) ,52.5,42.3,73.0,32.0,52.5,32.0,44.3,64.0,52.5,
계해(癸亥) ,148.0,123.5,197.0,99.0,148.0,99.0,128.4,198.0,148.0,
